"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"16221","Late erythroid progenitor","Lymphomyeloid prog","TNXB","SDC1",0.0598537925990457,42293.6,0.034578433315387,738,0.570682614742687,27531,-0.0587643546919283,67150,0.789811319264432,87102,0,28947
"16222","Pre-pro-B cells","CD8+ naive T cells","HLA-A","CD8B",0.0598644389067053,20144.6,0.00429426936699418,19879,0.771656587317642,18445,0.608408436896999,22172,0.960478596743288,11280,0,28947
"16223","Megakaryocyte progenitors","NK T cells","CALR","ITGAV",0.0598705618967516,23240.2,0.00820757567639083,8434,1.22260169534441,7365,0.957695895752283,10719,0.928264629272293,29812,0.004,59871
"16224","Megakaryocyte progenitors","Myelocytes","CD99","PILRA",0.0598848047905913,15587.6,0.00682023004073516,10957,1.01390752200302,11348,1.32648297152285,4512,0.941169866956867,22174,0,28947
"16225","Megakaryocyte progenitors","CD8+ effector memory T cells","CD59","CD2",0.0598949895900657,18270.6,0.00388177551532122,22175,0.961923643596216,12576,1.18538261036072,6287,0.942500475060627,21368,0,28947
"16226","Pre-pro-B cells","Conventional dendritic cell 2","HMGB1","HAVCR2",0.0599051756280099,18300.4,0.00489215172932231,16957,1.03397924385187,10890,0.886552075205626,12532,0.941165722064396,22176,0,28947
"16227","Classical Monocytes","Conventional dendritic cell 2","LY86","CD180",0.0599153629045104,27123.2,0.0101524012710375,6139,0.681130225362625,22177,0.626534494301442,21445,0.880209096261464,56908,0,28947
"16228","Early erythroid progenitor","CD56brightCD16- NK cells","ICAM4","ITGB2",0.0599250754864412,20613,0.00863525794305438,7841,0.889085778456136,14547,0.890190686618332,12435,0.912317083014308,39295,0,28947
"16229","Myelocytes","CD4+ memory T cells","ITGB2","CD226",0.0599327009000529,21741,0.00502062698693812,16424,0.907688888025598,14037,0.989487968790411,10001,0.91231383754671,39296,0,28947
"16230","NK T cells","Myelocytes","ADAM10","CD44",0.0599357411735261,18464.4,0.00388132819470686,22179,0.787122486259396,17869,1.56840968884093,2427,0.943291512307544,20900,0,28947
"16231","Classical Monocytes","GammaDelta T cells","ADAM17","ITGB1",0.0599403270899067,29008.6,0.00266016902711291,31540,0.597650432539787,26058,0.681645827682823,19201,0.912304235409433,39297,0,28947
